,property_type,society,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,Wardrobe,furnishing_type,luxury_score
3448,house,independent,sector 3 phase 3 extension,1.5,5000.0,3000.0,6.0,1.0,0,1.0,,New Property,,3000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3449,house,independent,sector 43,15.5,28233.0,5490.0,5.0,6.0,3,3.0,East,Moderately Old,5490.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,76.0
3450,house,independent,sector 12,6.0,35088.0,1710.0,9.0,6.0,2,2.0,North-East,Old Property,,,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3452,house,huda floor,sector 38,4.0,22222.0,1800.0,9.0,9.0,3+,2.0,East,Relatively New,,4800.0,3800.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,152.0
3453,flat,bestech park view sanskruti,sector 92,1.68,11053.0,1520.0,3.0,4.0,3+,15.0,East,Relatively New,2120.0,,1520.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,174.0
3454,flat,prime habitat,sector 99a,0.27,5433.0,497.0,2.0,2.0,1,4.0,North-East,New Property,,,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
3455,house,eldeco mansionz,sector 48,4.75,20299.0,2340.0,7.0,7.0,3,2.0,North-East,Moderately Old,2340.0,,,1.0,0.0,0.0,0.0,0.0,7.0,1.0,33.0
3456,house,spaze privy,sector 72,3.09,6981.0,4426.0,5.0,5.0,3+,14.0,East,Relatively New,,3653.0,2922.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,33.0
3457,flat,tulip violet,sector 69,1.65,8871.0,1860.0,3.0,3.0,2,1.0,Na,Relatively New,,1578.0,,0.0,0.0,0.0,0.0,0.0,3.0,1.0,69.0
3458,flat,paras dews,sector 106,1.13,6406.0,1764.0,3.0,4.0,3+,18.0,North-West,Relatively New,1760.0,1186.0,1130.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0
3459,flat,tata primanti,sector 72,4.0,13769.0,2905.0,4.0,5.0,3+,9.0,North-East,Relatively New,2905.0,2800.0,2500.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,165.0
3460,flat,raisina residency,sector 59,5.0,13058.0,3829.0,4.0,4.0,3+,13.0,North-West,Relatively New,,,3829.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,174.0
3461,flat,m3m the tree of life,sector 111,2.35,14551.0,1615.0,3.0,3.0,3+,5.0,Na,Under Construction,,1615.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3462,flat,conscient heritage max,sector 102,1.9,9784.0,1942.0,3.0,4.0,3+,20.0,North-East,Relatively New,1942.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,165.0
3463,house,independent,sector 25,10.85,38150.0,2844.0,6.0,6.0,1,3.0,North-East,Relatively New,2844.0,,,0.0,0.0,1.0,0.0,0.0,4.0,1.0,136.0
3464,flat,palam vihar extension west zone rwa,sector 2,0.2,4000.0,500.0,1.0,1.0,1,1.0,Na,Moderately Old,,,500.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
